kernel,matrix_size,block_size,reg_cap,ok,reason,achieved_occupancy_raw,achieved_occupancy_norm,dram_bw_pct_raw,dram_bw_pct_norm,l2_hit_rate_raw,l2_hit_rate_norm,sm_active_pct_raw,sm_active_pct_norm,warp_exec_efficiency_ratio_raw,warp_exec_efficiency_ratio_norm
gemm,512,128,default,True,ok,96.52,0.9652,1.68,0.0168,95.89,0.9589,97.76,0.9776,32.0,1.0
gemm,512,128,32,True,ok,96.41,0.9641,1.67,0.0167,95.9,0.9590000000000001,97.12,0.9712000000000001,32.0,1.0
gemm,512,128,64,True,ok,81.02,0.8101999999999999,1.62,0.016200000000000003,95.74,0.9573999999999999,97.33,0.9732999999999999,32.0,1.0
gemm,512,256,default,True,ok,96.52,0.9652,1.68,0.0168,95.81,0.9581000000000001,97.72,0.9772,32.0,1.0
gemm,512,256,32,True,ok,96.39,0.9639,1.71,0.0171,95.89,0.9589,97.18,0.9718000000000001,32.0,1.0
gemm,512,256,64,True,ok,81.01,0.8101,1.69,0.0169,96.0,0.96,97.32,0.9732,32.0,1.0
gemm,1024,128,default,True,ok,99.02,0.9902,19.05,0.1905,36.34,0.36340000000000006,98.35,0.9834999999999999,32.0,1.0
gemm,1024,128,32,True,ok,99.04,0.9904000000000001,18.97,0.18969999999999998,36.07,0.3607,97.98,0.9798,32.0,1.0
gemm,1024,128,64,True,ok,82.67,0.8267,18.92,0.1892,36.18,0.3618,97.58,0.9758,32.0,1.0
gemm,1024,256,default,True,ok,99.02,0.9902,19.08,0.19079999999999997,36.43,0.3643,98.37,0.9837,32.0,1.0
gemm,1024,256,32,True,ok,99.03,0.9903,18.99,0.18989999999999999,34.26,0.34259999999999996,96.2,0.9620000000000001,32.0,1.0
gemm,1024,256,64,True,ok,82.67,0.8267,18.91,0.1891,36.22,0.36219999999999997,97.58,0.9758,32.0,1.0
reduction,512,128,default,True,ok,84.44,0.8443999999999999,19.03,0.19030000000000002,7.73,0.07730000000000001,77.54,0.7754000000000001,31.75,1.0
reduction,512,128,32,True,ok,84.53,0.8453,19.29,0.1929,7.18,0.0718,77.22,0.7722,31.75,1.0
reduction,512,128,64,True,ok,84.45,0.8445,20.97,0.2097,7.09,0.0709,77.81,0.7781,31.75,1.0
reduction,512,256,default,True,ok,84.86,0.8486,19.05,0.1905,4.41,0.0441,77.8,0.778,31.89,1.0
reduction,512,256,32,True,ok,84.83,0.8482999999999999,19.23,0.1923,6.35,0.0635,77.81,0.7781,31.89,1.0
reduction,512,256,64,True,ok,84.85,0.8484999999999999,18.69,0.1869,4.71,0.0471,77.8,0.778,31.89,1.0
reduction,1024,128,default,True,ok,85.88,0.8588,22.34,0.2234,6.34,0.0634,84.25,0.8425,31.75,1.0
reduction,1024,128,32,True,ok,85.72,0.8572,23.12,0.23120000000000002,7.35,0.0735,84.18,0.8418000000000001,31.75,1.0
reduction,1024,128,64,True,ok,85.89,0.8589,22.34,0.2234,6.34,0.0634,84.29,0.8429000000000001,31.75,1.0
reduction,1024,256,default,True,ok,86.05,0.8604999999999999,20.89,0.2089,4.91,0.049100000000000005,84.16,0.8416,31.89,1.0
reduction,1024,256,32,True,ok,86.26,0.8626,20.18,0.2018,3.55,0.0355,84.33,0.8432999999999999,31.89,1.0
reduction,1024,256,64,True,ok,86.25,0.8625,20.41,0.2041,3.56,0.0356,84.31,0.8431000000000001,31.89,1.0
softmax,512,128,default,True,ok,89.69,0.8969,2.71,0.0271,50.91,0.5091,70.56,0.7056,2.46,1.0
softmax,512,128,32,True,ok,89.19,0.8919,3.08,0.0308,57.05,0.5705,70.29,0.7029000000000001,2.45,1.0
softmax,512,128,64,True,ok,89.66,0.8966,2.77,0.0277,51.13,0.5113,72.1,0.721,2.46,1.0
softmax,512,256,default,True,ok,92.27,0.9227,1.81,0.0181,51.49,0.5149,48.05,0.4805,2.96,1.0
softmax,512,256,32,True,ok,92.56,0.9256,1.78,0.0178,51.34,0.5134000000000001,46.89,0.4689,2.92,1.0
softmax,512,256,64,True,ok,92.08,0.9208,1.82,0.0182,51.18,0.5118,48.28,0.4828,2.96,1.0
softmax,1024,128,default,True,ok,94.0,0.94,4.72,0.0472,57.65,0.5765,74.36,0.7436,2.27,1.0
softmax,1024,128,32,True,ok,93.93,0.9393,4.02,0.04019999999999999,53.25,0.5325,72.7,0.727,2.27,1.0
softmax,1024,128,64,True,ok,94.0,0.94,4.18,0.0418,52.78,0.5278,74.33,0.7433,2.27,1.0
softmax,1024,256,default,True,ok,96.99,0.9699,2.82,0.0282,51.35,0.5135000000000001,50.29,0.5029,2.46,1.0
softmax,1024,256,32,True,ok,96.8,0.968,2.74,0.0274,51.35,0.5135000000000001,48.97,0.48969999999999997,2.46,1.0
softmax,1024,256,64,True,ok,96.97,0.9697,2.8,0.027999999999999997,50.81,0.5081,50.38,0.5038,2.46,1.0
